word,sentiment
abszolvál,1
adakozó,1
adottság,1
aduász,1
affinitás,1
agilis,1
agilitás,1
agyas,1
ahítat,1
áhitat,1
ajándék,1
ajándékozás,1
akadályozatlan,1
akkurátus,1
aktív,1
alapos,1
alaposság,1
áld,1
áldás,1
áldomás,1
áldott,1
áldozatkész,1
áldozatos,1
alkalmas,1
alkalmasság,1
alkotó,1
állhatatos,1
állhatatosság,1
ambiciózus,1
angyal,1
angyali,1
angyalom,1
aprólékos,1
aprólékosan,1
aranybánya,1
aranyérmes,1
aranyos,1
ari,1
aromás,1
ász,1
átélés,1
átéléssel,1
átfogó,1
átgondolt,1
átkarolás,1
átkaroló,1
átlátható,1
atletikus,1
atlétikus,1
átnemesül,1
atomzsír,1
átölelő,1
áttekinthető,1
áttekinthetőség,1
áttörés,1
attraktív,1
átvészel,1
bámulatos,1
bámulatosan,1
bántatlan,1
barát,1
baráti,1
barátság,1
barátságos,1
barátságosság,1
baró,1
bársonyos,1
bátor,1
bátorság,1
bátran,1
bebiztosít,1
becézget,1
becsszó,1
becsül,1
becsülendő,1
becsülés,1
becsület,1
becsületes,1
becsületesség,1
becsületszó,1
befolyásos,1
befutott,1
béke,1
békeidők,1
békekötés,1
békéltető,1
békepárti,1
békés,1
békésen,1
békesség,1
békeszerető,1
béketűrés,1
békülékeny,1
belát,1
belátó,1
beláttat,1
beleszeret,1
belevaló,1
bensőséges,1
bérmentve,1
bestseller,1
beszerezhető,1
bevonz,1
bizakodás,1
bizakodó,1
bizalom,1
bizalomgerjesztő,1
bizalommal,1
biztatás,1
biztató,1
biztonság,1
biztonságos,1
biztonságosan,1
biztosíték,1
bók,1
boldog,1
boldogan,1
boldogság,1
boldogságteljes,1
boldogulni,1
borotvaeszű,1
bőkezű,1
bölcs,1
bölcsen,1
bölcsesség,1
bővíthető,1
bravúr,1
brilliáns,1
buzgó,1
bűntelen,1
célravezető,1
célszerű,1
céltudatos,1
cirógat,1
civilizált,1
cizellált,1
cool,1
cuki,1
cukimuki,1
cukkancs,1
cukorfalat,1
családbarát,1
csalatkozhatatlan,1
csalhatatlan,1
cselekvőképes,1
csini,1
csinos,1
csinosít,1
csoda,1
csodák,1
csodál,1
csodálat,1
csodálatos,1
csodálatosan,1
csodálattal,1
csodálója,1
csodás,1
csodaszép,1
csodaszer,1
csodatétel,1
csúcseredmény,1
csúcsszuper,1
csúcsteljesítmény,1
dalia,1
daliás,1
decens,1
dédelget,1
dédelgetett,1
dekoratív,1
derék,1
derű,1
derűlátás,1
derülátó,1
derűlátó,1
derült,1
derűs,1
diadal,1
diadalmas,1
diadalmasan,1
dicsér,1
dicséret,1
dicséretes,1
dicsérte,1
